######## Translation table for ROC # 2
######## Tue Aug 12 09:43:47 EDT 1997
######## By uid=2420(burin) gid=15(users)
######## Version # 3
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	30	10	1	52	0	2	6	1877	14
DC0 	5	29	10	1	52	0	2	6	1877	15
DC0 	5	27	14	1	52	0	2	6	1877	16
DC0 	5	25	14	1	52	0	2	6	1877	17
DC0 	5	26	13	1	52	0	2	6	1877	18
DC0 	5	28	13	1	52	0	2	6	1877	19
DC0 	5	30	13	1	52	0	2	6	1877	20
DC0 	5	29	13	1	52	0	2	6	1877	21
DC0 	5	27	13	1	52	0	2	6	1877	22
DC0 	5	25	13	1	52	0	2	6	1877	23
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	26	8	1	52	0	2	6	1877	24
DC0 	5	28	8	1	52	0	2	6	1877	25
DC0 	5	30	8	1	52	0	2	6	1877	26
DC0 	5	29	8	1	52	0	2	6	1877	27
DC0 	5	27	8	1	52	0	2	6	1877	28
DC0 	5	25	8	1	52	0	2	6	1877	29
DC0 	5	26	7	1	52	0	2	6	1877	30
DC0 	5	28	7	1	52	0	2	6	1877	31
DC0 	5	30	3	1	52	0	2	6	1877	32
DC0 	5	29	3	1	52	0	2	6	1877	33
DC0 	5	27	3	1	52	0	2	6	1877	34
DC0 	5	25	3	1	52	0	2	6	1877	35
DC0 	5	26	2	1	52	0	2	6	1877	36
DC0 	5	28	2	1	52	0	2	6	1877	37
DC0 	5	30	2	1	52	0	2	6	1877	38
DC0 	5	29	2	1	52	0	2	6	1877	39
DC0 	5	27	6	1	52	0	2	6	1877	40
DC0 	5	25	6	1	52	0	2	6	1877	41
DC0 	5	26	5	1	52	0	2	6	1877	42
DC0 	5	28	5	1	52	0	2	6	1877	43
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	30	5	1	52	0	2	6	1877	44
DC0 	5	29	5	1	52	0	2	6	1877	45
DC0 	5	27	5	1	52	0	2	6	1877	46
DC0 	5	25	5	1	52	0	2	6	1877	47
DC0 	5	26	32	1	52	0	2	6	1877	48
DC0 	5	28	32	1	52	0	2	6	1877	49
DC0 	5	30	32	1	52	0	2	6	1877	50
DC0 	5	29	32	1	52	0	2	6	1877	51
DC0 	5	27	32	1	52	0	2	6	1877	52
DC0 	5	25	32	1	52	0	2	6	1877	53
DC0 	5	26	31	1	52	0	2	6	1877	54
DC0 	5	28	31	1	52	0	2	6	1877	55
DC0 	5	30	27	1	52	0	2	6	1877	56
DC0 	5	29	27	1	52	0	2	6	1877	57
DC0 	5	27	27	1	52	0	2	6	1877	58
DC0 	5	25	27	1	52	0	2	6	1877	59
DC0 	5	26	26	1	52	0	2	6	1877	60
DC0 	5	28	26	1	52	0	2	6	1877	61
DC0 	5	30	26	1	52	0	2	6	1877	62
DC0 	5	29	26	1	52	0	2	6	1877	63
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	27	30	1	52	0	2	6	1877	64
DC0 	5	25	30	1	52	0	2	6	1877	65
DC0 	5	26	29	1	52	0	2	6	1877	66
DC0 	5	28	29	1	52	0	2	6	1877	67
DC0 	5	30	29	1	52	0	2	6	1877	68
DC0 	5	29	29	1	52	0	2	6	1877	69
DC0 	5	27	29	1	52	0	2	6	1877	70
DC0 	5	25	29	1	52	0	2	6	1877	71
DC0 	5	26	24	1	52	0	2	6	1877	72
DC0 	5	28	24	1	52	0	2	6	1877	73
DC0 	5	30	24	1	52	0	2	6	1877	74
DC0 	5	29	24	1	52	0	2	6	1877	75
DC0 	5	27	24	1	52	0	2	6	1877	76
DC0 	5	25	24	1	52	0	2	6	1877	77
DC0 	5	26	23	1	52	0	2	6	1877	78
DC0 	5	28	23	1	52	0	2	6	1877	79
DC0 	5	30	19	1	52	0	2	6	1877	80
DC0 	5	29	19	1	52	0	2	6	1877	81
DC0 	5	27	19	1	52	0	2	6	1877	82
DC0 	5	25	19	1	52	0	2	6	1877	83
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	26	18	1	52	0	2	6	1877	84
DC0 	5	28	18	1	52	0	2	6	1877	85
DC0 	5	30	18	1	52	0	2	6	1877	86
DC0 	5	29	18	1	52	0	2	6	1877	87
DC0 	5	27	22	1	52	0	2	6	1877	88
DC0 	5	25	22	1	52	0	2	6	1877	89
DC0 	5	26	21	1	52	0	2	6	1877	90
DC0 	5	28	21	1	52	0	2	6	1877	91
DC0 	5	30	21	1	52	0	2	6	1877	92
DC0 	5	29	21	1	52	0	2	6	1877	93
DC0 	5	27	21	1	52	0	2	6	1877	94
DC0 	5	25	21	1	52	0	2	6	1877	95
DC0 	5	26	44	0	52	0	2	7	1877	0
DC0 	5	28	44	0	52	0	2	7	1877	1
DC0 	5	30	44	0	52	0	2	7	1877	2
DC0 	5	29	44	0	52	0	2	7	1877	3
DC0 	5	27	44	0	52	0	2	7	1877	4
DC0 	5	25	44	0	52	0	2	7	1877	5
DC0 	5	26	43	0	52	0	2	7	1877	6
DC0 	5	28	43	0	52	0	2	7	1877	7
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	30	47	0	52	0	2	7	1877	8
DC0 	5	29	47	0	52	0	2	7	1877	9
DC0 	5	27	47	0	52	0	2	7	1877	10
DC0 	5	25	47	0	52	0	2	7	1877	11
DC0 	5	26	46	0	52	0	2	7	1877	12
DC0 	5	28	46	0	52	0	2	7	1877	13
DC0 	5	30	46	0	52	0	2	7	1877	14
DC0 	5	29	46	0	52	0	2	7	1877	15
DC0 	5	27	42	0	52	0	2	7	1877	16
DC0 	5	25	42	0	52	0	2	7	1877	17
DC0 	5	26	41	0	52	0	2	7	1877	18
DC0 	5	28	41	0	52	0	2	7	1877	19
DC0 	5	30	41	0	52	0	2	7	1877	20
DC0 	5	29	41	0	52	0	2	7	1877	21
DC0 	5	27	41	0	52	0	2	7	1877	22
DC0 	5	25	41	0	52	0	2	7	1877	23
DC0 	5	26	36	0	52	0	2	7	1877	24
DC0 	5	28	36	0	52	0	2	7	1877	25
DC0 	5	30	36	0	52	0	2	7	1877	26
DC0 	5	29	36	0	52	0	2	7	1877	27
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	27	36	0	52	0	2	7	1877	28
DC0 	5	25	36	0	52	0	2	7	1877	29
DC0 	5	26	35	0	52	0	2	7	1877	30
DC0 	5	28	35	0	52	0	2	7	1877	31
DC0 	5	30	39	0	52	0	2	7	1877	32
DC0 	5	29	39	0	52	0	2	7	1877	33
DC0 	5	27	39	0	52	0	2	7	1877	34
DC0 	5	25	39	0	52	0	2	7	1877	35
DC0 	5	26	38	0	52	0	2	7	1877	36
DC0 	5	28	38	0	52	0	2	7	1877	37
DC0 	5	30	38	0	52	0	2	7	1877	38
DC0 	5	29	38	0	52	0	2	7	1877	39
DC0 	5	27	34	0	52	0	2	7	1877	40
DC0 	5	25	34	0	52	0	2	7	1877	41
DC0 	5	26	33	0	52	0	2	7	1877	42
DC0 	5	28	33	0	52	0	2	7	1877	43
DC0 	5	30	33	0	52	0	2	7	1877	44
DC0 	5	29	33	0	52	0	2	7	1877	45
DC0 	5	27	33	0	52	0	2	7	1877	46
DC0 	5	25	33	0	52	0	2	7	1877	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	26	60	0	52	0	2	7	1877	48
DC0 	5	28	60	0	52	0	2	7	1877	49
DC0 	5	30	60	0	52	0	2	7	1877	50
DC0 	5	29	60	0	52	0	2	7	1877	51
DC0 	5	27	60	0	52	0	2	7	1877	52
DC0 	5	25	60	0	52	0	2	7	1877	53
DC0 	5	26	59	0	52	0	2	7	1877	54
DC0 	5	28	59	0	52	0	2	7	1877	55
DC0 	5	30	63	0	52	0	2	7	1877	56
DC0 	5	29	63	0	52	0	2	7	1877	57
DC0 	5	27	63	0	52	0	2	7	1877	58
DC0 	5	25	63	0	52	0	2	7	1877	59
DC0 	5	26	62	0	52	0	2	7	1877	60
DC0 	5	28	62	0	52	0	2	7	1877	61
DC0 	5	30	62	0	52	0	2	7	1877	62
DC0 	5	29	62	0	52	0	2	7	1877	63
DC0 	5	27	58	0	52	0	2	7	1877	64
DC0 	5	25	58	0	52	0	2	7	1877	65
DC0 	5	26	57	0	52	0	2	7	1877	66
DC0 	5	28	57	0	52	0	2	7	1877	67
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	30	57	0	52	0	2	7	1877	68
DC0 	5	29	57	0	52	0	2	7	1877	69
DC0 	5	27	57	0	52	0	2	7	1877	70
DC0 	5	25	57	0	52	0	2	7	1877	71
DC0 	5	26	52	0	52	0	2	7	1877	72
DC0 	5	28	52	0	52	0	2	7	1877	73
DC0 	5	30	52	0	52	0	2	7	1877	74
DC0 	5	29	52	0	52	0	2	7	1877	75
DC0 	5	27	52	0	52	0	2	7	1877	76
DC0 	5	25	52	0	52	0	2	7	1877	77
DC0 	5	26	51	0	52	0	2	7	1877	78
DC0 	5	28	51	0	52	0	2	7	1877	79
DC0 	5	30	55	0	52	0	2	7	1877	80
DC0 	5	29	55	0	52	0	2	7	1877	81
DC0 	5	27	55	0	52	0	2	7	1877	82
DC0 	5	25	55	0	52	0	2	7	1877	83
DC0 	5	26	54	0	52	0	2	7	1877	84
DC0 	5	28	54	0	52	0	2	7	1877	85
DC0 	5	30	54	0	52	0	2	7	1877	86
DC0 	5	29	54	0	52	0	2	7	1877	87
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	27	50	0	52	0	2	7	1877	88
DC0 	5	25	50	0	52	0	2	7	1877	89
DC0 	5	26	49	0	52	0	2	7	1877	90
DC0 	5	28	49	0	52	0	2	7	1877	91
DC0 	5	30	49	0	52	0	2	7	1877	92
DC0 	5	29	49	0	52	0	2	7	1877	93
DC0 	5	27	49	0	52	0	2	7	1877	94
DC0 	5	25	49	0	52	0	2	7	1877	95
DC0 	5	26	48	1	52	0	2	7	1877	0
DC0 	5	28	48	1	52	0	2	7	1877	1
DC0 	5	30	48	1	52	0	2	7	1877	2
DC0 	5	29	48	1	52	0	2	7	1877	3
DC0 	5	27	48	1	52	0	2	7	1877	4
DC0 	5	25	48	1	52	0	2	7	1877	5
DC0 	5	26	47	1	52	0	2	7	1877	6
DC0 	5	28	47	1	52	0	2	7	1877	7
DC0 	5	30	43	1	52	0	2	7	1877	8
DC0 	5	29	43	1	52	0	2	7	1877	9
DC0 	5	27	43	1	52	0	2	7	1877	10
DC0 	5	25	43	1	52	0	2	7	1877	11
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	26	42	1	52	0	2	7	1877	12
DC0 	5	28	42	1	52	0	2	7	1877	13
DC0 	5	30	42	1	52	0	2	7	1877	14
DC0 	5	29	42	1	52	0	2	7	1877	15
DC0 	5	27	46	1	52	0	2	7	1877	16
DC0 	5	25	46	1	52	0	2	7	1877	17
DC0 	5	26	45	1	52	0	2	7	1877	18
DC0 	5	28	45	1	52	0	2	7	1877	19
DC0 	5	30	45	1	52	0	2	7	1877	20
DC0 	5	29	45	1	52	0	2	7	1877	21
DC0 	5	27	45	1	52	0	2	7	1877	22
DC0 	5	25	45	1	52	0	2	7	1877	23
DC0 	5	26	40	1	52	0	2	7	1877	24
DC0 	5	28	40	1	52	0	2	7	1877	25
DC0 	5	30	40	1	52	0	2	7	1877	26
DC0 	5	29	40	1	52	0	2	7	1877	27
DC0 	5	27	40	1	52	0	2	7	1877	28
DC0 	5	25	40	1	52	0	2	7	1877	29
DC0 	5	26	39	1	52	0	2	7	1877	30
DC0 	5	28	39	1	52	0	2	7	1877	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	30	35	1	52	0	2	7	1877	32
DC0 	5	29	35	1	52	0	2	7	1877	33
DC0 	5	27	35	1	52	0	2	7	1877	34
DC0 	5	25	35	1	52	0	2	7	1877	35
DC0 	5	26	34	1	52	0	2	7	1877	36
DC0 	5	28	34	1	52	0	2	7	1877	37
DC0 	5	30	34	1	52	0	2	7	1877	38
DC0 	5	29	34	1	52	0	2	7	1877	39
DC0 	5	27	38	1	52	0	2	7	1877	40
DC0 	5	25	38	1	52	0	2	7	1877	41
DC0 	5	26	37	1	52	0	2	7	1877	42
DC0 	5	28	37	1	52	0	2	7	1877	43
DC0 	5	30	37	1	52	0	2	7	1877	44
DC0 	5	29	37	1	52	0	2	7	1877	45
DC0 	5	27	37	1	52	0	2	7	1877	46
DC0 	5	25	37	1	52	0	2	7	1877	47
DC0 	5	26	64	1	52	0	2	7	1877	48
DC0 	5	28	64	1	52	0	2	7	1877	49
DC0 	5	30	64	1	52	0	2	7	1877	50
DC0 	5	29	64	1	52	0	2	7	1877	51
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	27	64	1	52	0	2	7	1877	52
DC0 	5	25	64	1	52	0	2	7	1877	53
DC0 	5	26	63	1	52	0	2	7	1877	54
DC0 	5	28	63	1	52	0	2	7	1877	55
DC0 	5	30	59	1	52	0	2	7	1877	56
DC0 	5	29	59	1	52	0	2	7	1877	57
DC0 	5	27	59	1	52	0	2	7	1877	58
DC0 	5	25	59	1	52	0	2	7	1877	59
DC0 	5	26	58	1	52	0	2	7	1877	60
DC0 	5	28	58	1	52	0	2	7	1877	61
DC0 	5	30	58	1	52	0	2	7	1877	62
DC0 	5	29	58	1	52	0	2	7	1877	63
DC0 	5	27	62	1	52	0	2	7	1877	64
DC0 	5	25	62	1	52	0	2	7	1877	65
