######## Translation table for ROC # 6
######## Tue Aug 12 14:59:53 EDT 1997
######## By uid=2420(burin) gid=15(users)
######## Version # 3
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     6        7      130     0       71      0        6       5      1877     0
DC0     6        9      128     0       71      0        6       5      1877     1
DC0     6        8      128     0       71      0        6       5      1877     2
DC0     6        7      129     0       71      0        6       5      1877     3
DC0     6       10      126     0       71      0        6       5      1877     4
DC0     6        9      127     0       71      0        6       5      1877     5
DC0     6        8      127     0       71      0        6       5      1877     6
DC0     6        7      128     0       71      0        6       5      1877     7
DC0     6       10      123     0       71      0        6       5      1877     8
DC0     6        9      124     0       71      0        6       5      1877     9
DC0     6        8      124     0       71      0        6       5      1877    10
DC0     6        7      125     0       71      0        6       5      1877    11
DC0     6       10      122     0       71      0        6       5      1877    12
DC0     6        9      123     0       71      0        6       5      1877    13
DC0     6        8      123     0       71      0        6       5      1877    14
DC0     6        7      124     0       71      0        6       5      1877    15
DC0     6        8      134     0       71      0        6       5      1877    16
DC0     6        7      135     0       71      0        6       5      1877    17
DC0     6        9      133     0       71      0        6       5      1877    18
DC0     6        8      133     0       71      0        6       5      1877    19
DC0     6        7      134     0       71      0        6       5      1877    20
DC0     6        9      132     0       71      0        6       5      1877    21
DC0     6        8      132     0       71      0        6       5      1877    22
DC0     6        7      133     0       71      0        6       5      1877    23
DC0     6        9      139     0       71      0        6       5      1877    32
DC0     6        8      139     0       71      0        6       5      1877    33
DC0     6        7      140     0       71      0        6       5      1877    34
DC0     6        9      138     0       71      0        6       5      1877    35
DC0     6        8      138     0       71      0        6       5      1877    36
DC0     6        7      139     0       71      0        6       5      1877    37
DC0     6        9      137     0       71      0        6       5      1877    38
DC0     6        8      137     0       71      0        6       5      1877    39
#fake
DC0     6        5      33      0       71      0        6       5      1877    40
DC0     6        5      34      0       71      0        6       5      1877    41
DC0     6        5      35      0       71      0        6       5      1877    42
DC0     6        5      36      0       71      0        6       5      1877    43
DC0     6        5      37      0       71      0        6       5      1877    44
DC0     6        5      38      0       71      0        6       5      1877    45
DC0     6        5      39      0       71      0        6       5      1877    46
DC0     6        5      40      0       71      0        6       5      1877    47
#
DC0     6        4      116     0       71      0        6       5      1877    48
DC0     6        3      117     0       71      0        6       5      1877    49
DC0     6        2      117     0       71      0        6       5      1877    50
DC0     6        1      118     0       71      0        6       5      1877    51
DC0     6        4      117     0       71      0        6       5      1877    52
DC0     6        3      118     0       71      0        6       5      1877    53
DC0     6        2      118     0       71      0        6       5      1877    54
DC0     6        1      119     0       71      0        6       5      1877    55
DC0     6        1      114     0       71      0        6       5      1877    56
DC0     6        2      113     0       71      0        6       5      1877    57
DC0     6        3      113     0       71      0        6       5      1877    58
DC0     6        4      112     0       71      0        6       5      1877    59
DC0     6        1      115     0       71      0        6       5      1877    60
DC0     6        2      114     0       71      0        6       5      1877    61
DC0     6        3      114     0       71      0        6       5      1877    62
DC0     6        4      113     0       71      0        6       5      1877    63
DC0     6        4      120     0       71      0        6       5      1877    64
DC0     6        3      121     0       71      0        6       5      1877    65
DC0     6        2      121     0       71      0        6       5      1877    66
DC0     6        1      122     0       71      0        6       5      1877    67
DC0     6        4      121     0       71      0        6       5      1877    68
DC0     6        3      122     0       71      0        6       5      1877    69
DC0     6        2      122     0       71      0        6       5      1877    70
DC0     6        1      123     0       71      0        6       5      1877    71
DC0     6        4      128     0       71      0        6       5      1877    72
DC0     6        3      129     0       71      0        6       5      1877    73
DC0     6        2      129     0       71      0        6       5      1877    74
DC0     6        1      130     0       71      0        6       5      1877    75
DC0     6        4      129     0       71      0        6       5      1877    76
DC0     6        3      130     0       71      0        6       5      1877    77
DC0     6        2      130     0       71      0        6       5      1877    78
DC0     6        4      130     0       71      0        6       5      1877    79
DC0     6        4      124     0       71      0        6       5      1877    80
DC0     6        3      125     0       71      0        6       5      1877    81
DC0     6        2      125     0       71      0        6       5      1877    82
DC0     6        1      126     0       71      0        6       5      1877    83
DC0     6        4      125     0       71      0        6       5      1877    84
DC0     6        3      126     0       71      0        6       5      1877    85
DC0     6        2      126     0       71      0        6       5      1877    86
DC0     6        1      127     0       71      0        6       5      1877    87
#fake
DC0     6        5      41      0       71      0        6       5      1877    88
DC0     6        5      42      0       71      0        6       5      1877    89
DC0     6        5      43      0       71      0        6       5      1877    90
DC0     6        5      44      0       71      0        6       5      1877    91
DC0     6        5      45      0       71      0        6       5      1877    92
DC0     6        5      46      0       71      0        6       5      1877    93
DC0     6        5      47      0       71      0        6       5      1877    94
DC0     6        5      48      0       71      0        6       5      1877    95
#
DC0     6       10      125     1       71      0        6       5      1877     0
DC0     6        9      126     1       71      0        6       5      1877     1
DC0     6        8      126     1       71      0        6       5      1877     2
DC0     6        7      127     1       71      0        6       5      1877     3
DC0     6       10      124     1       71      0        6       5      1877     4
DC0     6        9      125     1       71      0        6       5      1877     5
DC0     6        8      125     1       71      0        6       5      1877     6
DC0     6        7      126     1       71      0        6       5      1877     7
