######## Translation table for ROC # 5
######## Tue Aug 12 10:17:27 EDT 1997
######## By uid=2420(burin) gid=15(users)
######## Version # 3
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2        5      51      1       31      0        5       5      1877    34
DC0     2        5      52      1       31      0        5       5      1877    35
DC0     2        5      53      1       31      0        5       5      1877    36
DC0     2        5      54      1       31      0        5       5      1877    37
DC0     2        5      55      1       31      0        5       5      1877    38
DC0     2        5      56      1       31      0        5       5      1877    39
DC0     2        5      57      1       31      0        5       5      1877    40
DC0     2        5      58      1       31      0        5       5      1877    41
DC0     2        5      59      1       31      0        5       5      1877    42
DC0     2        5      60      1       31      0        5       5      1877    43
DC0     2        5      61      1       31      0        5       5      1877    44
DC0     2        5      62      1       31      0        5       5      1877    45
DC0     2        5      63      1       31      0        5       5      1877    46
DC0     2        5      64      1       31      0        5       5      1877    47
#
DC0     2        1      112     1       31      0        5       5      1877    48
DC0     2        2      111     1       31      0        5       5      1877    49
DC0     2        3      111     1       31      0        5       5      1877    50
DC0     2        4      110     1       31      0        5       5      1877    51
DC0     2        1      113     1       31      0        5       5      1877    52
DC0     2        2      112     1       31      0        5       5      1877    53
DC0     2        3      112     1       31      0        5       5      1877    54
DC0     2        4      111     1       31      0        5       5      1877    55
DC0     2        4      118     1       31      0        5       5      1877    56
DC0     2        3      119     1       31      0        5       5      1877    57
DC0     2        2      119     1       31      0        5       5      1877    58
DC0     2        1      120     1       31      0        5       5      1877    59
DC0     2        4      119     1       31      0        5       5      1877    60
DC0     2        3      120     1       31      0        5       5      1877    61
DC0     2        2      120     1       31      0        5       5      1877    62
DC0     2        1      121     1       31      0        5       5      1877    63
DC0     2        4      114     1       31      0        5       5      1877    64
DC0     2        3      115     1       31      0        5       5      1877    65
DC0     2        2      115     1       31      0        5       5      1877    66
DC0     2        1      116     1       31      0        5       5      1877    67
DC0     2        4      115     1       31      0        5       5      1877    68
DC0     2        3      116     1       31      0        5       5      1877    69
DC0     2        2      116     1       31      0        5       5      1877    70
DC0     2        1      117     1       31      0        5       5      1877    71
DC0     2        4      122     1       31      0        5       5      1877    72
DC0     2        3      123     1       31      0        5       5      1877    73
DC0     2        2      123     1       31      0        5       5      1877    74
DC0     2        1      124     1       31      0        5       5      1877    75
DC0     2        4      123     1       31      0        5       5      1877    76
DC0     2        3      124     1       31      0        5       5      1877    77
DC0     2        2      124     1       31      0        5       5      1877    78
DC0     2        1      125     1       31      0        5       5      1877    79
DC0     2        4      126     1       31      0        5       5      1877    88
DC0     2        3      127     1       31      0        5       5      1877    89
DC0     2        2      127     1       31      0        5       5      1877    90
DC0     2        1      128     1       31      0        5       5      1877    91
DC0     2        4      127     1       31      0        5       5      1877    92
DC0     2        3      128     1       31      0        5       5      1877    93
DC0     2        2      128     1       31      0        5       5      1877    94
DC0     2        1      129     1       31      0        5       5      1877    95
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2        7        8     0       25      0        5       6      1877     0
DC0     2        9        7     0       25      0        5       6      1877     1
DC0     2	11	6	0	25	0	5	6	1877	2
DC0     2	12	5	0	25	0	5	6	1877	3
DC0     2	10	6	0	25	0	5	6	1877	4
DC0     2	8	7	0	25	0	5	6	1877	5
DC0     2	7	9	0	25	0	5	6	1877	6
DC0     2	9	8	0	25	0	5	6	1877	7
DC0     2	11	3	0	25	0	5	6	1877	8
DC0     2	12	2	0	25	0	5	6	1877	9
DC0     2	10	3	0	25	0	5	6	1877	10
DC0     2	8	4	0	25	0	5	6	1877	11
DC0     2	7	6	0	25	0	5	6	1877	12
DC0     2	9	5	0	25	0	5	6	1877	13
DC0     2	11	4	0	25	0	5	6	1877	14
DC0     2	12	3	0	25	0	5	6	1877	15
DC0     2	10	8	0	25	0	5	6	1877	16
DC0     2	8	9	0	25	0	5	6	1877	17
DC0     2	7	11	0	25	0	5	6	1877	18
DC0     2	9	10	0	25	0	5	6	1877	19
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	11	9	0	25	0	5	6	1877	20
DC0     2	12	8	0	25	0	5	6	1877	21
DC0     2	10	9	0	25	0	5	6	1877	22
DC0     2	8	10	0	25	0	5	6	1877	23
DC0     2	7	16	0	25	0	5	6	1877	24
DC0     2	9	15	0	25	0	5	6	1877	25
DC0     2	11	14	0	25	0	5	6	1877	26
DC0     2	12	13	0	25	0	5	6	1877	27
DC0     2	10	14	0	25	0	5	6	1877	28
DC0     2	8	15	0	25	0	5	6	1877	29
DC0     2	7	17	0	25	0	5	6	1877	30
DC0     2	9	16	0	25	0	5	6	1877	31
DC0     2	11	11	0	25	0	5	6	1877	32
DC0     2	12	10	0	25	0	5	6	1877	33
DC0     2	10	11	0	25	0	5	6	1877	34
DC0     2	8	12	0	25	0	5	6	1877	35
DC0     2	7	14	0	25	0	5	6	1877	36
DC0     2	9	13	0	25	0	5	6	1877	37
DC0     2	11	12	0	25	0	5	6	1877	38
DC0     2	12	11	0	25	0	5	6	1877	39
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	10	16	0	25	0	5	6	1877	40
DC0     2	8	17	0	25	0	5	6	1877	41
DC0     2	7	19	0	25	0	5	6	1877	42
DC0     2	9	18	0	25	0	5	6	1877	43
DC0     2	11	17	0	25	0	5	6	1877	44
DC0     2	12	16	0	25	0	5	6	1877	45
DC0     2	10	17	0	25	0	5	6	1877	46
DC0     2	8	18	0	25	0	5	6	1877	47
DC0     2	7	24	0	25	0	5	6	1877	48
DC0     2	9	23	0	25	0	5	6	1877	49
DC0     2	11	22	0	25	0	5	6	1877	50
DC0     2	12	21	0	25	0	5	6	1877	51
DC0     2	10	22	0	25	0	5	6	1877	52
DC0     2	8	23	0	25	0	5	6	1877	53
DC0     2	7	25	0	25	0	5	6	1877	54
DC0     2	9	24	0	25	0	5	6	1877	55
DC0     2	11	19	0	25	0	5	6	1877	56
DC0     2	12	18	0	25	0	5	6	1877	57
DC0     2	10	19	0	25	0	5	6	1877	58
DC0     2	8	20	0	25	0	5	6	1877	59
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	7	22	0	25	0	5	6	1877	60
DC0     2	9	21	0	25	0	5	6	1877	61
DC0     2	11	20	0	25	0	5	6	1877	62
DC0     2	12	19	0	25	0	5	6	1877	63
DC0     2	10	24	0	25	0	5	6	1877	64
DC0     2	8	25	0	25	0	5	6	1877	65
DC0     2	7	27	0	25	0	5	6	1877	66
DC0     2	9	26	0	25	0	5	6	1877	67
DC0     2	11	25	0	25	0	5	6	1877	68
DC0     2	12	24	0	25	0	5	6	1877	69
DC0     2	10	25	0	25	0	5	6	1877	70
DC0     2	8	26	0	25	0	5	6	1877	71
DC0     2	7	32	0	25	0	5	6	1877	72
