######## Translation table for ROC # 15
######## Thu Jun  5 16:28:48 EDT 1997
######## By uid=1990(serov) gid=146(clas)
######## Version # 1
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	3	1	1	510	0	15	17	1881	8
EC  	1	3	2	1	510	0	15	17	1881	9
EC  	1	3	3	1	510	0	15	17	1881	10
EC  	1	3	4	1	510	0	15	17	1881	11
EC  	1	3	5	1	510	0	15	17	1881	12
EC  	1	3	6	1	510	0	15	17	1881	13
EC  	1	3	7	1	510	0	15	17	1881	14
EC  	1	3	8	1	510	0	15	17	1881	15
EC  	1	3	9	1	510	0	15	17	1881	16
EC  	1	3	10	1	510	0	15	17	1881	17
EC  	1	3	11	1	510	0	15	17	1881	18
EC  	1	3	12	1	510	0	15	17	1881	19
EC  	1	3	13	1	510	0	15	17	1881	20
EC  	1	3	14	1	510	0	15	17	1881	21
EC  	1	3	15	1	510	0	15	17	1881	22
EC  	1	3	16	1	510	0	15	17	1881	23
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	3	17	1	510	0	15	17	1881	24
EC  	1	3	18	1	510	0	15	17	1881	25
EC  	1	3	19	1	510	0	15	17	1881	26
EC  	1	3	20	1	510	0	15	17	1881	27
EC  	1	3	21	1	510	0	15	17	1881	28
EC  	1	3	22	1	510	0	15	17	1881	29
EC  	1	3	23	1	510	0	15	17	1881	30
EC  	1	3	24	1	510	0	15	17	1881	31
EC  	1	3	25	1	510	0	15	17	1881	32
EC  	1	3	26	1	510	0	15	17	1881	33
EC  	1	3	27	1	510	0	15	17	1881	34
EC  	1	3	28	1	510	0	15	17	1881	35
EC  	1	3	29	1	510	0	15	17	1881	36
EC  	1	3	30	1	510	0	15	17	1881	37
EC  	1	3	31	1	510	0	15	17	1881	38
EC  	1	3	32	1	510	0	15	17	1881	39
EC  	1	3	33	1	510	0	15	17	1881	40
EC  	1	3	34	1	510	0	15	17	1881	41
EC  	1	3	35	1	510	0	15	17	1881	42
EC  	1	3	36	1	510	0	15	17	1881	43
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	4	1	1	510	0	15	17	1881	44
EC  	1	4	2	1	510	0	15	17	1881	45
EC  	1	4	3	1	510	0	15	17	1881	46
EC  	1	4	4	1	510	0	15	17	1881	47
EC  	1	4	5	1	510	0	15	17	1881	48
EC  	1	4	6	1	510	0	15	17	1881	49
EC  	1	4	7	1	510	0	15	17	1881	50
EC  	1	4	8	1	510	0	15	17	1881	51
EC  	1	4	9	1	510	0	15	17	1881	52
EC  	1	4	10	1	510	0	15	17	1881	53
EC  	1	4	11	1	510	0	15	17	1881	54
EC  	1	4	12	1	510	0	15	17	1881	55
EC  	1	4	13	1	510	0	15	17	1881	56
EC  	1	4	14	1	510	0	15	17	1881	57
EC  	1	4	15	1	510	0	15	17	1881	58
EC  	1	4	16	1	510	0	15	17	1881	59
EC  	1	4	17	1	510	0	15	17	1881	60
EC  	1	4	18	1	510	0	15	17	1881	61
EC  	1	4	19	1	510	0	15	17	1881	62
EC  	1	4	20	1	510	0	15	17	1881	63
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	1	1	1	510	0	15	18	1881	0
EC  	1	1	2	1	510	0	15	18	1881	1
EC  	1	1	3	1	510	0	15	18	1881	2
EC  	1	1	4	1	510	0	15	18	1881	3
EC  	1	1	5	1	510	0	15	18	1881	4
EC  	1	1	6	1	510	0	15	18	1881	5
EC  	1	1	7	1	510	0	15	18	1881	6
EC  	1	1	8	1	510	0	15	18	1881	7
EC  	1	1	9	1	510	0	15	18	1881	8
EC  	1	1	10	1	510	0	15	18	1881	9
EC  	1	1	11	1	510	0	15	18	1881	10
EC  	1	1	12	1	510	0	15	18	1881	11
EC  	1	1	13	1	510	0	15	18	1881	12
EC  	1	1	14	1	510	0	15	18	1881	13
EC  	1	1	15	1	510	0	15	18	1881	14
EC  	1	1	16	1	510	0	15	18	1881	15
EC  	1	1	17	1	510	0	15	18	1881	16
EC  	1	1	18	1	510	0	15	18	1881	17
EC  	1	1	19	1	510	0	15	18	1881	18
EC  	1	1	20	1	510	0	15	18	1881	19
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	1	21	1	510	0	15	18	1881	20
EC  	1	1	22	1	510	0	15	18	1881	21
EC  	1	1	23	1	510	0	15	18	1881	22
EC  	1	1	24	1	510	0	15	18	1881	23
EC  	1	1	25	1	510	0	15	18	1881	24
EC  	1	1	26	1	510	0	15	18	1881	25
EC  	1	1	27	1	510	0	15	18	1881	26
EC  	1	1	28	1	510	0	15	18	1881	27
EC  	1	1	29	1	510	0	15	18	1881	28
EC  	1	1	30	1	510	0	15	18	1881	29
EC  	1	1	31	1	510	0	15	18	1881	30
EC  	1	1	32	1	510	0	15	18	1881	31
EC  	1	1	33	1	510	0	15	18	1881	32
EC  	1	1	34	1	510	0	15	18	1881	33
EC  	1	1	35	1	510	0	15	18	1881	34
EC  	1	1	36	1	510	0	15	18	1881	35
EC  	1	2	1	1	510	0	15	18	1881	36
EC  	1	2	2	1	510	0	15	18	1881	37
EC  	1	2	3	1	510	0	15	18	1881	38
EC  	1	2	4	1	510	0	15	18	1881	39
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	2	5	1	510	0	15	18	1881	40
EC  	1	2	6	1	510	0	15	18	1881	41
EC  	1	2	7	1	510	0	15	18	1881	42
EC  	1	2	8	1	510	0	15	18	1881	43
EC  	1	2	9	1	510	0	15	18	1881	44
EC  	1	2	10	1	510	0	15	18	1881	45
EC  	1	2	11	1	510	0	15	18	1881	46
EC  	1	2	12	1	510	0	15	18	1881	47
EC  	1	2	13	1	510	0	15	18	1881	48
EC  	1	2	14	1	510	0	15	18	1881	49
EC  	1	2	15	1	510	0	15	18	1881	50
EC  	1	2	16	1	510	0	15	18	1881	51
EC  	1	2	17	1	510	0	15	18	1881	52
EC  	1	2	18	1	510	0	15	18	1881	53
EC  	1	2	19	1	510	0	15	18	1881	54
EC  	1	2	20	1	510	0	15	18	1881	55
EC  	1	2	21	1	510	0	15	18	1881	56
EC  	1	2	22	1	510	0	15	18	1881	57
EC  	1	2	23	1	510	0	15	18	1881	58
EC  	1	2	24	1	510	0	15	18	1881	59
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	2	25	1	510	0	15	18	1881	60
EC  	1	2	26	1	510	0	15	18	1881	61
EC  	1	2	27	1	510	0	15	18	1881	62
EC  	1	2	28	1	510	0	15	18	1881	63
EC  	2	5	17	1	520	0	15	19	1881	0
EC  	2	5	18	1	520	0	15	19	1881	1
EC  	2	5	19	1	520	0	15	19	1881	2
EC  	2	5	20	1	520	0	15	19	1881	3
EC  	2	5	21	1	520	0	15	19	1881	4
EC  	2	5	22	1	520	0	15	19	1881	5
EC  	2	5	23	1	520	0	15	19	1881	6
EC  	2	5	24	1	520	0	15	19	1881	7
EC  	2	5	25	1	520	0	15	19	1881	8
EC  	2	5	26	1	520	0	15	19	1881	9
EC  	2	5	27	1	520	0	15	19	1881	10
EC  	2	5	28	1	520	0	15	19	1881	11
EC  	2	5	29	1	520	0	15	19	1881	12
EC  	2	5	30	1	520	0	15	19	1881	13
EC  	2	5	31	1	520	0	15	19	1881	14
EC  	2	5	32	1	520	0	15	19	1881	15
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	2	5	33	1	520	0	15	19	1881	16
EC  	2	5	34	1	520	0	15	19	1881	17
EC  	2	5	35	1	520	0	15	19	1881	18
EC  	2	5	36	1	520	0	15	19	1881	19
EC  	2	6	1	1	520	0	15	19	1881	20
EC  	2	6	2	1	520	0	15	19	1881	21
EC  	2	6	3	1	520	0	15	19	1881	22
EC  	2	6	4	1	520	0	15	19	1881	23
EC  	2	6	5	1	520	0	15	19	1881	24
EC  	2	6	6	1	520	0	15	19	1881	25
EC  	2	6	7	1	520	0	15	19	1881	26
EC  	2	6	8	1	520	0	15	19	1881	27
EC  	2	6	9	1	520	0	15	19	1881	28
EC  	2	6	10	1	520	0	15	19	1881	29
EC  	2	6	11	1	520	0	15	19	1881	30
EC  	2	6	12	1	520	0	15	19	1881	31
EC  	2	6	13	1	520	0	15	19	1881	32
EC  	2	6	14	1	520	0	15	19	1881	33
EC  	2	6	15	1	520	0	15	19	1881	34
